episode,epsilon,score,average_score,total_reward,average_reward
42,0.9797036738060285,66,22.88372093023256,56.0,13.116279069767442
43,0.9792138219691255,20,22.818181818181817,10.0,13.045454545454545
44,0.978724215058141,14,22.622222222222224,4.0,12.844444444444445
45,0.978234852950612,11,22.369565217391305,1.0,12.58695652173913
46,0.9777457355241367,17,22.25531914893617,7.0,12.46808510638298
47,0.9772568626563747,17,22.145833333333332,7.0,12.354166666666666
48,0.9767682342250465,31,22.3265306122449,21.0,12.53061224489796
49,0.976279850107934,31,22.5,21.0,12.7
50,0.9757917101828801,12,22.294117647058822,2.0,12.490196078431373
51,0.9753038143277888,24,22.326923076923077,14.0,12.51923076923077
52,0.974816162420625,65,23.132075471698112,55.0,13.320754716981131
53,0.9743287543394147,9,22.87037037037037,-1.0,13.055555555555555
54,0.973841589962245,12,22.672727272727272,2.0,12.854545454545455
55,0.973354669167264,15,22.535714285714285,5.0,12.714285714285714
56,0.9728679918326804,16,22.42105263157895,6.0,12.596491228070175
57,0.972381557836764,18,22.344827586206897,8.0,12.517241379310345
58,0.9718953670578457,13,22.1864406779661,3.0,12.35593220338983
59,0.9714094193743169,13,22.033333333333335,3.0,12.2
60,0.9709237146646298,8,21.80327868852459,-2.0,11.967213114754099
61,0.9704382528072976,10,21.612903225806452,0.0,11.774193548387096
62,0.9699530336808939,45,21.984126984126984,35.0,12.142857142857142
63,0.9694680571640535,25,22.03125,15.0,12.1875
64,0.9689833231354715,9,21.83076923076923,-1.0,11.984615384615385
65,0.9684988314739038,36,22.045454545454547,26.0,12.196969696969697
66,0.9680145820581669,15,21.940298507462686,5.0,12.08955223880597
67,0.9675305747671379,21,21.926470588235293,11.0,12.073529411764707
68,0.9670468094797544,64,22.536231884057973,54.0,12.681159420289855
69,0.9665632860750146,10,22.357142857142858,0.0,12.5
70,0.9660800044319772,39,22.591549295774648,29.0,12.732394366197184
71,0.9655969644297613,15,22.48611111111111,5.0,12.625
72,0.9651141659475465,14,22.36986301369863,4.0,12.506849315068493
73,0.9646316088645728,27,22.43243243243243,17.0,12.567567567567568
74,0.9641492930601405,23,22.44,13.0,12.573333333333334
75,0.9636672184136105,23,22.44736842105263,13.0,12.578947368421053
76,0.9631853848044037,73,23.103896103896105,63.0,13.233766233766234
77,0.9627037921120016,13,22.974358974358974,3.0,13.102564102564102
78,0.9622224402159457,59,23.430379746835442,49.0,13.556962025316455
79,0.9617413289958378,30,23.5125,20.0,13.6375
80,0.9612604583313399,15,23.40740740740741,5.0,13.530864197530864
81,0.9607798281021742,40,23.609756097560975,30.0,13.731707317073171
82,0.9602994381881231,24,23.6144578313253,14.0,13.734939759036145
