episode,epsilon,score,average_score,total_reward,average_reward,Q_table_length
62,0.9398828867910889,22,20.952380952380953,12.0,11.11111111111111,1444
63,0.9389434736891332,14,20.84375,4.0,11.0,1460
64,0.9380049995307295,22,20.861538461538462,12.0,11.015384615384615,1484
65,0.9370674633774034,15,20.772727272727273,5.0,10.924242424242424,1501
66,0.9361308642916188,18,20.73134328358209,8.0,10.880597014925373,1521
67,0.9351952013367766,46,21.102941176470587,36.0,11.25,1569
68,0.9342604735772135,11,20.956521739130434,1.0,11.101449275362318,1582
69,0.933326680078202,12,20.82857142857143,2.0,10.971428571428572,1596
70,0.9323938199059483,15,20.746478873239436,5.0,10.887323943661972,1613
71,0.9314618921275921,22,20.76388888888889,12.0,10.902777777777779,1637
72,0.9305308958112057,9,20.602739726027398,-1.0,10.73972602739726,1648
73,0.9296008300257927,16,20.54054054054054,6.0,10.675675675675675,1666
74,0.9286716938412872,14,20.453333333333333,4.0,10.586666666666666,1682
75,0.9277434863285529,28,20.55263157894737,18.0,10.68421052631579,1712
76,0.9268162065593822,13,20.454545454545453,3.0,10.584415584415584,1727
77,0.9258898536064953,13,20.358974358974358,3.0,10.487179487179487,1742
78,0.9249644265435393,19,20.341772151898734,9.0,10.468354430379748,1763
79,0.9240399244450868,54,20.7625,44.0,10.8875,1819
80,0.9231163463866358,17,20.71604938271605,7.0,10.839506172839506,1838
81,0.922193691444608,13,20.621951219512194,3.0,10.74390243902439,1853
82,0.9212719586963487,20,20.6144578313253,10.0,10.734939759036145,1875
83,0.9203511472201247,19,20.595238095238095,9.0,10.714285714285714,1896
84,0.9194312560951247,20,20.58823529411765,10.0,10.705882352941176,1918
85,0.9185122844014574,12,20.488372093023255,2.0,10.604651162790697,1932
86,0.9175942312201509,9,20.35632183908046,-1.0,10.471264367816092,1943
87,0.9166770956331523,18,20.329545454545453,8.0,10.443181818181818,1963
88,0.9157608767233256,45,20.60674157303371,35.0,10.719101123595506,2010
89,0.914845573574452,19,20.58888888888889,9.0,10.7,2031
90,0.9139311852712282,12,20.494505494505493,2.0,10.604395604395604,2045
91,0.9130177108992658,23,20.52173913043478,13.0,10.630434782608695,2070
92,0.9121051495450904,11,20.419354838709676,1.0,10.526881720430108,2083
93,0.9111935002961405,18,20.393617021276597,8.0,10.5,2103
94,0.910282762240767,14,20.326315789473686,4.0,10.43157894736842,2119
95,0.9093729344682314,9,20.208333333333332,-1.0,10.3125,2130
96,0.9084640160687062,29,20.298969072164947,19.0,10.402061855670103,2161
97,0.9075560061332727,14,20.23469387755102,4.0,10.33673469387755,2177
98,0.9066489037539209,16,20.19191919191919,6.0,10.292929292929292,2195
99,0.9057427080235485,27,20.26,17.0,10.36,2224
100,0.9048374180359595,13,20.18811881188119,3.0,10.287128712871286,2239
101,0.9039330328858641,18,20.166666666666668,8.0,10.264705882352942,2259
102,0.9030295516688768,8,20.04854368932039,-2.0,10.145631067961165,2269
103,0.9021269734815165,9,19.942307692307693,-1.0,10.038461538461538,2280
104,0.9012252974212047,10,19.847619047619048,0.0,9.942857142857143,2292
105,0.9003245225862656,13,19.78301886792453,3.0,9.877358490566039,2307
106,0.899424648075924,16,19.747663551401867,6.0,9.841121495327103,2325
107,0.8985256729903055,23,19.77777777777778,13.0,9.87037037037037,2350
108,0.8976275964304349,34,19.908256880733944,24.0,10.0,2386
109,0.8967304174982355,14,19.854545454545455,4.0,9.945454545454545,2402
110,0.8958341352965282,14,19.8018018018018,4.0,9.891891891891891,2418
111,0.894938748929031,13,19.741071428571427,3.0,9.830357142857142,2433
112,0.8940442575003572,17,19.716814159292035,7.0,9.805309734513274,2452
113,0.8931506601160155,23,19.74561403508772,13.0,9.833333333333334,2477
114,0.8922579558824083,9,19.652173913043477,-1.0,9.73913043478261,2488
115,0.8913661439068313,64,20.03448275862069,54.0,10.120689655172415,2554
116,0.8904752232974726,12,19.965811965811966,2.0,10.051282051282051,2568
117,0.8895851931634113,24,20.0,14.0,10.084745762711865,2594
118,0.8886960526146174,9,19.907563025210084,-1.0,9.991596638655462,2605
119,0.8878078007619501,20,19.908333333333335,10.0,9.991666666666667,2627
120,0.8869204367171575,34,20.024793388429753,24.0,10.107438016528926,2663
121,0.8860339595928756,11,19.950819672131146,1.0,10.032786885245901,2676
122,0.8851483685026271,15,19.910569105691057,5.0,9.991869918699187,2693
123,0.8842636625608209,51,20.161290322580644,41.0,10.241935483870968,2746
124,0.8833798408827509,10,20.08,0.0,10.16,2758
125,0.8824969025845955,20,20.07936507936508,10.0,10.158730158730158,2780
126,0.8816148467834161,12,20.015748031496063,2.0,10.094488188976378,2794
127,0.880733672597157,14,19.96875,4.0,10.046875,2810
128,0.8798533791446438,27,20.023255813953487,17.0,10.10077519379845,2839
129,0.8789739655455832,16,19.99230769230769,6.0,10.069230769230769,2857
130,0.8780954309205613,40,20.14503816793893,30.0,10.221374045801527,2899
131,0.8772177743910435,18,20.12878787878788,8.0,10.204545454545455,2919
132,0.8763409950793732,34,20.23308270676692,24.0,10.308270676691729,2955
133,0.8754650921087711,21,20.238805970149254,11.0,10.313432835820896,2978
134,0.874590064603334,9,20.155555555555555,-1.0,10.22962962962963,2989
135,0.8737159116880344,12,20.095588235294116,2.0,10.169117647058824,3003
136,0.8728426324887193,10,20.021897810218977,0.0,10.094890510948906,3015
137,0.8719702261321094,23,20.043478260869566,13.0,10.115942028985508,3040
138,0.8710986917457983,22,20.057553956834532,12.0,10.129496402877697,3064
139,0.8702280284582515,41,20.207142857142856,31.0,10.278571428571428,3107
140,0.8693582353988059,22,20.21985815602837,12.0,10.290780141843971,3131
141,0.8684893116976679,19,20.211267605633804,9.0,10.28169014084507,3152
142,0.867621256485914,15,20.174825174825173,5.0,10.244755244755245,3169
143,0.8667540688954889,29,20.23611111111111,19.0,10.305555555555555,3200
144,0.865887748059205,23,20.255172413793105,13.0,10.324137931034484,3225
145,0.8650222931107413,35,20.356164383561644,25.0,10.424657534246576,3262
146,0.8641577031846428,11,20.292517006802722,1.0,10.360544217687075,3275
147,0.8632939774163194,16,20.263513513513512,6.0,10.33108108108108,3293
148,0.8624311149420455,24,20.288590604026847,14.0,10.355704697986576,3319
149,0.8615691148989583,15,20.253333333333334,5.0,10.32,3336
150,0.8607079764250578,20,20.251655629139073,10.0,10.317880794701987,3358
151,0.8598476986592055,24,20.276315789473685,14.0,10.342105263157896,3384
152,0.8589882807411234,19,20.26797385620915,9.0,10.333333333333334,3405
153,0.8581297218113938,15,20.233766233766232,5.0,10.2987012987013,3422
154,0.8572720210114575,40,20.361290322580643,30.0,10.425806451612903,3464
155,0.8564151774836135,13,20.314102564102566,3.0,10.378205128205128,3479
156,0.8555591903710185,37,20.420382165605094,27.0,10.48407643312102,3518
157,0.8547040588176851,43,20.563291139240505,33.0,10.626582278481013,3563
158,0.8538497819684817,28,20.61006289308176,18.0,10.672955974842766,3593
159,0.8529963589691315,18,20.59375,8.0,10.65625,3613
160,0.8521437889662113,15,20.559006211180126,5.0,10.621118012422361,3630
161,0.8512920711071511,33,20.635802469135804,23.0,10.697530864197532,3665
162,0.850441204540233,16,20.607361963190183,6.0,10.668711656441717,3683
163,0.8495911884145902,21,20.609756097560975,11.0,10.670731707317072,3706
164,0.8487420218802068,15,20.575757575757574,5.0,10.636363636363637,3723
165,0.8478937040879159,11,20.518072289156628,1.0,10.578313253012048,3736
166,0.8470462341893996,9,20.449101796407184,-1.0,10.508982035928144,3747
167,0.8461996113371882,18,20.43452380952381,8.0,10.494047619047619,3767
168,0.8453538346846587,14,20.39644970414201,4.0,10.455621301775148,3783
169,0.8445089033860343,46,20.54705882352941,36.0,10.605882352941176,3831
170,0.8436648165963837,30,20.60233918128655,20.0,10.660818713450292,3863
171,0.8428215734716199,22,20.61046511627907,12.0,10.668604651162791,3887
172,0.8419791731684999,16,20.583815028901736,6.0,10.641618497109826,3905
173,0.8411376148446232,23,20.597701149425287,13.0,10.655172413793103,3930
174,0.8402968976584314,33,20.66857142857143,23.0,10.725714285714286,3965
175,0.8394570207692074,29,20.71590909090909,19.0,10.772727272727273,3996
176,0.838617983337074,22,20.72316384180791,12.0,10.779661016949152,4020
177,0.8377797845229938,17,20.702247191011235,7.0,10.758426966292134,4039
178,0.8369424234887681,16,20.675977653631286,6.0,10.731843575418994,4057
179,0.8361058993970355,16,20.65,6.0,10.705555555555556,4075
180,0.835270211411272,16,20.624309392265193,6.0,10.679558011049723,4093
181,0.8344353586957896,19,20.615384615384617,9.0,10.67032967032967,4114
182,0.8336013404157353,26,20.6448087431694,16.0,10.699453551912569,4142
183,0.832768155737091,11,20.592391304347824,1.0,10.646739130434783,4155
184,0.8319358038266718,34,20.664864864864864,24.0,10.718918918918918,4191
185,0.8311042838521256,55,20.849462365591396,45.0,10.903225806451612,4248
186,0.8302735949819326,27,20.88235294117647,17.0,10.935828877005347,4277
187,0.8294437363854039,93,21.26595744680851,83.0,11.319148936170214,4372
188,0.8286147072326806,11,21.211640211640212,1.0,11.264550264550264,4385
189,0.8277865066947336,11,21.157894736842106,1.0,11.210526315789474,4398
190,0.8269591339433623,15,21.12565445026178,5.0,11.178010471204189,4415
191,0.8261325881511938,20,21.119791666666668,10.0,11.171875,4437
192,0.8253068684916823,13,21.077720207253886,3.0,11.129533678756477,4452
193,0.8244819741391082,13,21.036082474226806,3.0,11.087628865979381,4467
194,0.8236579042685769,11,20.984615384615385,1.0,11.035897435897436,4480
195,0.8228346580560184,10,20.928571428571427,0.0,10.979591836734693,4492
196,0.8220122346781865,17,20.908629441624367,7.0,10.959390862944163,4511
